,name,pledged,slug,source_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,friends,is_backing,is_starred,permissions,country,town,location_type,project_url,reward_url
3417,"23,424 Hours",1251.0,23424-hours,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,UT,1367904795,1.0,1251.0,domestic,,,,,US,Salt Lake City,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3418,Send an art teacher to the Arctic Circle,4806.0,send-an-art-teacher-to-the-arctic-circle,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,Svalbard,1369478306,1.0,4806.0,domestic,,,,,SJ,Longyearbyen,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3419,Portraits of the Future,2953.0,portraits-of-the-future,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,England,1369180200,1.0,2953.0,domestic,,,,,GB,London,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3420,lost in decim8n: the art of the glitch (an installation),85.0,lost-in-decim8n-the-art-of-the-glitch-an-installat,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,WI,1360688552,1.0,85.0,domestic,,,,,US,Milwaukee,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3421,No Pun Intended,262.0,no-pun-intended,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,VA,1364745631,1.0,262.0,domestic,,,,,US,Bridgewater,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3422,The PixelWho Project - Original Doctor Who Pixel Art Prints,10033.1,the-pixelwho-project-original-doctor-who-pixel-art,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,VA,1364850039,1.0,10033.1,domestic,,,,,US,Richmond,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3423,Fund me to help build an awesome display at OneSpark event!,581.0,fund-me-to-help-build-an-awesome-display-at-onespa,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,FL,1364797022,1.0,581.0,domestic,,,,,US,Jacksonville,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3424,Satan Gets Lucky,221.99,satan-gets-lucky,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,TX,1367786102,1.0,221.99,domestic,,,,,US,Austin,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3425,Steven Zins' Palo Alto Art Show,1100.0,steven-zins-palo-alto-art-show,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,CA,1365214826,1.0,1100.0,domestic,,,,,US,Palo Alto,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3426,Celebrating Ali,930.0,celebrating-ali,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,NY,1366138859,1.0,930.0,domestic,,,,,US,New York,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3427,Sugar Skull - Sticker,2315.36,sugar-skull-sticker,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,IL,1365381962,1.0,2315.36,domestic,,,,,US,Chicago,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3428,Braille Mail,153.0,braille-mail,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,PA,1366597140,1.0,153.0,domestic,,,,,US,Horsham,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3429,Genesis - “I Know What I Like” Book App by Armando Gallo,33076.11,genesis-i-know-what-i-like-book-app-by-armando-gal,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,CA,1368992110,1.0,33076.11,domestic,,,,,US,Los Angeles,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3430,2014 Fantasy Calendar,2860.0,2014-fantasy-calendar,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,OR,1367274662,1.0,2860.0,domestic,,,,,US,Portland,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3431,English Rose digital artwork,12.0,english-rose-digital-artwork,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,England,1364405826,1.51249319,18.14991828,domestic,,,,,GB,London,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3432,My First Artist Alley,3208.01,my-first-artist-alley,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,TX,1349479661,1.0,3208.01,domestic,,,,,US,Austin,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
